"שלב","קוד","משימה","מה בונים (בפשטות)","עדיפות","תלוי ב","אחראי","סטטוס","כרטיס משימה","פרומפט להתחלה (עברית)","Kickoff prompt (English)"
"גל 0 (התחלה)","T0","הקמת המאגר והענפים","פעם אחת בהתחלה: פתיחת מאגר ב-GitHub, יצירת ענף dev, והגנה כך שאפשר לעדכן את main ו-dev רק דרך PR.","קריטי","—","","לא התחיל","docs/07-WORKFLOW.md","אנחנו מקימים פרויקט בשם Pacer. המשימה שלי: לפתוח מאגר GitHub חדש, ליצור ענף בשם dev, ולהגן על main ו-dev כך שאפשר לעדכן אותם רק דרך PR. קרא/י את docs/07-WORKFLOW.md ואז הפעל/י הגנת ענפים על main ו-dev (דרך הגדרות GitHub או gh api). אל תכתוב/י קוד של האפליקציה — זו רק הקמה.","We're setting up a project called Pacer. My task: open a new GitHub repo, create a dev branch, and protect main and dev so they can only be updated via PRs. Read docs/07-WORKFLOW.md, then enable branch protection on main and dev (GitHub Settings or gh api). Don't write any app code — this is setup only."
"גל 0","S1","שלד הפרויקט","המבנה הבסיסי של הקוד: תיקיות, הגדרות והפעלה. בלי מסכים ובלי תכונות — רק שהכול ירוץ.","קריטי","T0","","לא התחיל","docs/tasks/01-foundation-scaffold-and-shared.md","אנחנו בונים אפליקציית כושר בשם Pacer, וכל אחד עובד על משימה נפרדת. המשימה שלי: להקים את שלד הפרויקט — תיקיות, הגדרות בסיס והפעלה (רק החלק הזה מהכרטיס, השאר משימות נפרדות). קרא/י קודם את CLAUDE.md ואת docs/tasks/01-foundation-scaffold-and-shared.md ובנה/י בדיוק לפי הכרטיס. חוקים: רק החבילות מ-docs/06-TECH-STACK.md, צבעים וגופנים רק דרך קובץ ה-theme, ולא דוחפים ישירות ל-main/dev — בסיום פותחים PR ל-dev.","We're building a fitness app called Pacer; each person works on a separate task. My task: set up the project skeleton — folders, base config, run scripts (only this part of the card, the rest are separate tasks). First read CLAUDE.md and docs/tasks/01-foundation-scaffold-and-shared.md and build exactly per that card. Rules: only packages from docs/06-TECH-STACK.md, colors/fonts only via the theme file, and never push directly to main/dev — open a PR into dev when done."
"גל 0","S2","השפה המשותפת של הקוד","מבני הנתונים המשותפים וחישובי ק״מ/קצב/נקודות שכל שאר המשימות ישתמשו בהם.","קריטי","S1","","לא התחיל","docs/tasks/01-foundation-scaffold-and-shared.md","אנחנו בונים אפליקציית כושר בשם Pacer, וכל אחד עובד על משימה נפרדת. המשימה שלי: לבנות את השפה המשותפת של הקוד — מבני הנתונים וחישובי ק״מ/קצב/נקודות שכולם משתמשים בהם (רק החלק הזה מהכרטיס, השאר משימות נפרדות). קרא/י קודם את CLAUDE.md ואת docs/tasks/01-foundation-scaffold-and-shared.md ובנה/י בדיוק לפי הכרטיס. חוקים: רק החבילות מ-docs/06-TECH-STACK.md, צבעים וגופנים רק דרך קובץ ה-theme, ולא דוחפים ישירות ל-main/dev — בסיום פותחים PR ל-dev.","We're building a fitness app called Pacer; each person works on a separate task. My task: build the shared common language of the code — the data shapes and the km/pace/points calculations everyone reuses (only this part of the card, the rest are separate tasks). First read CLAUDE.md and docs/tasks/01-foundation-scaffold-and-shared.md and build exactly per that card. Rules: only packages from docs/06-TECH-STACK.md, colors/fonts only via the theme file, never push directly to main/dev — open a PR into dev when done."
"גל 1","S3","שלד השרת","חיבור למסד הנתונים, התחברות משתמשים, והבסיס שעליו תולים את כל הפעולות.","קריטי","S2","","לא התחיל","docs/tasks/02-foundation-api-and-database.md","אנחנו בונים אפליקציית כושר בשם Pacer, וכל אחד עובד על משימה נפרדת. המשימה שלי: לבנות את שלד השרת — חיבור למסד הנתונים, התחברות משתמשים, והבסיס שעליו תולים את כל הפעולות (רק החלק הזה מהכרטיס, מסד הנתונים הוא משימה נפרדת). קרא/י קודם את CLAUDE.md ואת docs/tasks/02-foundation-api-and-database.md ובנה/י בדיוק לפי הכרטיס. חוקים: רק החבילות מ-docs/06-TECH-STACK.md, צבעים וגופנים רק דרך קובץ ה-theme, ולא דוחפים ישירות ל-main/dev — בסיום פותחים PR ל-dev.","We're building a fitness app called Pacer; each person works on a separate task. My task: build the server skeleton — database connection, user login, and the base everything hangs off (only this part of the card; the database is a separate task). First read CLAUDE.md and docs/tasks/02-foundation-api-and-database.md and build exactly per that card. Rules: only packages from docs/06-TECH-STACK.md, colors/fonts only via the theme file, never push directly to main/dev — open a PR into dev when done."
"גל 1","S4","מסד הנתונים הבסיסי","טבלת הפרופילים של המשתמשים והרשאות האבטחה.","קריטי","פרויקט Supabase","","לא התחיל","docs/tasks/02-foundation-api-and-database.md","אנחנו בונים אפליקציית כושר בשם Pacer, וכל אחד עובד על משימה נפרדת. המשימה שלי: להקים את מסד הנתונים הבסיסי — טבלת הפרופילים והרשאות האבטחה (רק החלק הזה מהכרטיס, שלד השרת הוא משימה נפרדת). קרא/י קודם את CLAUDE.md ואת docs/tasks/02-foundation-api-and-database.md ובנה/י בדיוק לפי הכרטיס. חוקים: רק החבילות מ-docs/06-TECH-STACK.md, ולא דוחפים ישירות ל-main/dev — בסיום פותחים PR ל-dev.","We're building a fitness app called Pacer; each person works on a separate task. My task: set up the base database — the profiles table and the security rules (only this part of the card; the server skeleton is a separate task). First read CLAUDE.md and docs/tasks/02-foundation-api-and-database.md and build exactly per that card. Rules: only packages from docs/06-TECH-STACK.md, never push directly to main/dev — open a PR into dev when done."
"גל 1","S5","שלד האתר והעיצוב","צבעים וגופנים במקום אחד, חמישה מסכים ריקים, וניווט ביניהם.","קריטי","S2","","לא התחיל","docs/tasks/03-foundation-web-shell-auth-theme.md","אנחנו בונים אפליקציית כושר בשם Pacer, וכל אחד עובד על משימה נפרדת. המשימה שלי: לבנות את שלד האתר והעיצוב — קובץ צבעים/גופנים אחד, חמישה מסכים ריקים וניווט (רק החלק הזה מהכרטיס, רכיבי הממשק וההתחברות הם משימות נפרדות). קרא/י קודם את CLAUDE.md ואת docs/tasks/03-foundation-web-shell-auth-theme.md ובנה/י בדיוק לפי הכרטיס. חוקים: רק החבילות מ-docs/06-TECH-STACK.md, צבעים וגופנים רק דרך קובץ ה-theme, ולא דוחפים ישירות ל-main/dev — בסיום פותחים PR ל-dev.","We're building a fitness app called Pacer; each person works on a separate task. My task: build the web shell and theme — one colors/fonts file, five empty screens, and navigation (only this part of the card; the UI pieces and sign-in are separate tasks). First read CLAUDE.md and docs/tasks/03-foundation-web-shell-auth-theme.md and build exactly per that card. Rules: only packages from docs/06-TECH-STACK.md, colors/fonts only via the theme file, never push directly to main/dev — open a PR into dev when done."
"גל 2","S6","רכיבי הממשק וסרגל הניווט","כפתורים, מתגים ותפריטי בחירה מעוצבים + סרגל הניווט וכפתור ה+.","קריטי","S5","","לא התחיל","docs/tasks/03-foundation-web-shell-auth-theme.md","אנחנו בונים אפליקציית כושר בשם Pacer, וכל אחד עובד על משימה נפרדת. המשימה שלי: לבנות את רכיבי הממשק הבסיסיים (כפתורים, מתגים, תפריטי בחירה) ואת סרגל הניווט עם כפתור ה+ (רק החלק הזה מהכרטיס). קרא/י קודם את CLAUDE.md ואת docs/tasks/03-foundation-web-shell-auth-theme.md ובנה/י בדיוק לפי הכרטיס. חוקים: רק החבילות מ-docs/06-TECH-STACK.md, צבעים וגופנים רק דרך קובץ ה-theme, ולא דוחפים ישירות ל-main/dev — בסיום פותחים PR ל-dev.","We're building a fitness app called Pacer; each person works on a separate task. My task: build the basic UI pieces (buttons, toggles, selects) and the nav bar with the + button (only this part of the card). First read CLAUDE.md and docs/tasks/03-foundation-web-shell-auth-theme.md and build exactly per that card. Rules: only packages from docs/06-TECH-STACK.md, colors/fonts only via the theme file, never push directly to main/dev — open a PR into dev when done."
"גל 2","M1","שמירת ריצות ואימונים (שרת)","הצד שמאחורי הקלעים ששומר ריצות ואימונים במסד הנתונים.","קריטי","S3, S4","","לא התחיל","docs/tasks/04-mvp-logging-runs-workouts.md","אנחנו בונים אפליקציית כושר בשם Pacer, וכל אחד עובד על משימה נפרדת. המשימה שלי: לבנות את שמירת הריצות והאימונים בצד השרת ובמסד הנתונים (רק החלק הזה מהכרטיס, המסכים הם משימה נפרדת). קרא/י קודם את CLAUDE.md ואת docs/tasks/04-mvp-logging-runs-workouts.md ובנה/י בדיוק לפי הכרטיס. חוקים: רק החבילות מ-docs/06-TECH-STACK.md, ולא דוחפים ישירות ל-main/dev — בסיום פותחים PR ל-dev.","We're building a fitness app called Pacer; each person works on a separate task. My task: build the server + database side that saves runs and workouts (only this part of the card; the screens are a separate task). First read CLAUDE.md and docs/tasks/04-mvp-logging-runs-workouts.md and build exactly per that card. Rules: only packages from docs/06-TECH-STACK.md, never push directly to main/dev — open a PR into dev when done."
"גל 2","M3","הרגלים וניקוד (שרת)","הצד שמאחורי הקלעים של ההרגלים היומיים ומנוע הנקודות.","קריטי","S3, S4","","לא התחיל","docs/tasks/05-mvp-habits-scoring-records.md","אנחנו בונים אפליקציית כושר בשם Pacer, וכל אחד עובד על משימה נפרדת. המשימה שלי: לבנות את ההרגלים היומיים ואת מנוע הניקוד בצד השרת (רק החלק הזה מהכרטיס, המסכים הם משימה נפרדת). קרא/י קודם את CLAUDE.md ואת docs/tasks/05-mvp-habits-scoring-records.md ובנה/י בדיוק לפי הכרטיס. חוקים: רק החבילות מ-docs/06-TECH-STACK.md, ולא דוחפים ישירות ל-main/dev — בסיום פותחים PR ל-dev.","We're building a fitness app called Pacer; each person works on a separate task. My task: build daily habits and the scoring engine on the server side (only this part of the card; the screens are a separate task). First read CLAUDE.md and docs/tasks/05-mvp-habits-scoring-records.md and build exactly per that card. Rules: only packages from docs/06-TECH-STACK.md, never push directly to main/dev — open a PR into dev when done."
"גל 3","S7","התחברות ובחירת שם","התחברות עם חשבון גוגל ובחירת שם משתמש.","קריטי","S3, S6","","לא התחיל","docs/tasks/03-foundation-web-shell-auth-theme.md","אנחנו בונים אפליקציית כושר בשם Pacer, וכל אחד עובד על משימה נפרדת. המשימה שלי: להוסיף התחברות עם גוגל ובחירת שם משתמש (רק החלק הזה מהכרטיס). קרא/י קודם את CLAUDE.md ואת docs/tasks/03-foundation-web-shell-auth-theme.md ובנה/י בדיוק לפי הכרטיס. חוקים: רק החבילות מ-docs/06-TECH-STACK.md, צבעים וגופנים רק דרך קובץ ה-theme, ולא דוחפים ישירות ל-main/dev — בסיום פותחים PR ל-dev.","We're building a fitness app called Pacer; each person works on a separate task. My task: add Google sign-in and choosing a username (only this part of the card). First read CLAUDE.md and docs/tasks/03-foundation-web-shell-auth-theme.md and build exactly per that card. Rules: only packages from docs/06-TECH-STACK.md, colors/fonts only via the theme file, never push directly to main/dev — open a PR into dev when done."
